title,artist,year,lyrics,is_offensive,offense_type,offense_keywords
Love Me Tender,Elvis Presley,1956,"Love me tender, love me sweet, never let me go",0,clean,
Hound Dog,Elvis Presley,1956,"You ain't nothin' but a hound dog, cryin' all the time",0,clean,
Jailhouse Rock,Elvis Presley,1957,Everybody in the whole cell block was dancin' to the jailhouse rock,0,clean,
Heartbreak Hotel,Elvis Presley,1956,"Well since my baby left me, I found a new place to dwell",0,clean,
Can't Help Myself,Four Tops,1965,"Sugar pie honey bunch, you know that I love you",0,clean,
My Girl,The Temptations,1965,I've got sunshine on a cloudy day,0,clean,
I Want to Hold Your Hand,The Beatles,1963,"I want to hold your hand, I want to hold your hand",0,clean,
Help!,The Beatles,1965,"Help, I need somebody, help, not just anybody",0,clean,
Yesterday,The Beatles,1965,"Yesterday, all my troubles seemed so far away",0,clean,
Hey Jude,The Beatles,1968,"Hey Jude, don't be afraid, you were made to go out and get her",0,clean,
Stairway to Heaven,Led Zeppelin,1971,There's a lady who's sure all that glitters is gold,0,clean,
Hotel California,Eagles,1976,"Welcome to the Hotel California, such a lovely place",0,clean,
Bohemian Rhapsody,Queen,1975,"Is this the real life, is this just fantasy",0,clean,
Billie Jean,Michael Jackson,1983,"Billie Jean is not my lover, she's just a girl",0,clean,
Like a Prayer,Madonna,1989,"Life is a mystery, everyone must stand alone",0,clean,
Smells Like Teen Spirit,Nirvana,1991,"Load up on guns, bring your friends, it's fun to lose and to pretend",0,clean,
Wonderwall,Oasis,1995,Today is gonna be the day that they're gonna throw it back to you,0,clean,
Baby One More Time,Britney Spears,1999,"Oh baby baby, how was I supposed to know",0,clean,
Crazy in Love,Beyoncé,2003,"Crazy in love, got me looking so crazy right now",0,clean,
Umbrella,Rihanna,2007,"You can stand under my umbrella, ella, ella",0,clean,
